	title	etime	content	vote	comment
249	공2 쪽문에서 지갑잃어리신분	8분 전	02년생 김다혜씨 쪽지주세요~	0	0
250	잘 하는 게 없으면	9분 전	일단 돈이라도 버는 게 맞지?	0	0
251	근데왜	9분 전	올해는 월드컵을 겨울에해 춥게	0	2
252	쪽문에 붕어빵	9분 전	오늘도 있나요?	0	2
253	그 핫게 교수님 냥이	11분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
254	나같은 스타일있나?	11분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
255	행정학개론	12분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
256	디자인과 생활	13분 전	디자인과 생활 중간고사 보나요 ??????	0	0
257	나랑 랜소 예행연습할사람?	14분 전	쪽지줘~	0	1
258	24년 전역	15분 전	오긴 오냐	1	11
259	여친 ㅈㄴ질리는데 헤어질 구실좀..	17분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
260	도서관인사람	18분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
261	운동종목 남/여 차이	18분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	25
262	영어 발음기호	19분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
263	분리수거 막 하는 애들은	24분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
264	티빙 한 자리 남는 사람	26분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
265	배우 김유정	26분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
266	이거 다들 어떻게 생각함??	28분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
267	나처럼 생각하는 사람있냐	30분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
268	진지하게 와꾸 궁금하다	32분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
269	우리 형 밭대 17학번	32분 전	나랑 수능 성적 비슷함	0	4
270	라인 오랜만에 깔았는데	34분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
271	언교원 영어회화 들을만 할까요	37분 전	고민되네ㅠ	0	8
272	의치수약간 1학년으로 보내주면	37분 전	가니? 타전공생들만	0	12
273	5동 쓰레기장 진짜 누구냐	38분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
274	복학생인데 공부해도 잘 모르겠다	39분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
275	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	39분 전	??	0	5
276	법학개론 ㅇㅇㅅ교수님	42분 전	내일 대면이야...?	0	1
277	마케팅관리 ㄱㅎㅈ 교수님	42분 전	필기 구해봅니다..ㅠㅠ	0	2
278	너네 시험 전날에 교양	45분 전	대충 몇시간 보고 가냐??	0	3
279	해치웟나??	46분 전	경제학과 아니라서 잘모르겟다	0	1
280	내가 이제 26살인데	2분 전	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	2
281	치킨빼고 치즈볼만 먹고싶다	3분 전	ㅠㅅㅠ	0	0
282	지금 학교 다니는 남자 21학번은	3분 전	군대 안간거누	0	2
283	약대	4분 전	학부몇학번부터 생겼어?	0	0
284	낼 경영과 사회 ㄹㅅㅇ	4분 전	대면 맞지??	0	0
285	원가회계 공부하신분.,	5분 전	전 5장이 너무 어렵습니다..	0	0
286	공.부.시.러.	5분 전	하.기.시.러	0	1
287	사회적가치와개인의자유	7분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
288	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	8분 전	나는 포기한 사람 ㅎㅎ	0	0
289	공2 쪽문에서 지갑잃어리신분	8분 전	02년생 김다혜씨 쪽지주세요~	0	0
290	잘 하는 게 없으면	9분 전	일단 돈이라도 버는 게 맞지?	0	0
291	근데왜	9분 전	올해는 월드컵을 겨울에해 춥게	0	2
292	쪽문에 붕어빵	9분 전	오늘도 있나요?	0	2
293	그 핫게 교수님 냥이	11분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
294	나같은 스타일있나?	11분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
295	행정학개론	12분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
296	디자인과 생활	13분 전	디자인과 생활 중간고사 보나요 ??????	0	0
297	나랑 랜소 예행연습할사람?	14분 전	쪽지줘~	0	1
298	24년 전역	15분 전	오긴 오냐	1	11
299	여친 ㅈㄴ질리는데 헤어질 구실좀..	17분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
300	도서관인사람	18분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
301	운동종목 남/여 차이	18분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	25
302	영어 발음기호	19분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
303	분리수거 막 하는 애들은	24분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
304	티빙 한 자리 남는 사람	26분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
305	배우 김유정	26분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
306	이거 다들 어떻게 생각함??	28분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
307	나처럼 생각하는 사람있냐	30분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
308	진지하게 와꾸 궁금하다	32분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
309	우리 형 밭대 17학번	32분 전	나랑 수능 성적 비슷함	0	4
310	라인 오랜만에 깔았는데	34분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
311	언교원 영어회화 들을만 할까요	37분 전	고민되네ㅠ	0	8
312	의치수약간 1학년으로 보내주면	37분 전	가니? 타전공생들만	0	12
313	5동 쓰레기장 진짜 누구냐	38분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
314	복학생인데 공부해도 잘 모르겠다	39분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
315	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	39분 전	??	0	5
316	법학개론 ㅇㅇㅅ교수님	42분 전	내일 대면이야...?	0	1
317	마케팅관리 ㄱㅎㅈ 교수님	42분 전	필기 구해봅니다..ㅠㅠ	0	2
318	너네 시험 전날에 교양	45분 전	대충 몇시간 보고 가냐??	0	3
319	해치웟나??	46분 전	경제학과 아니라서 잘모르겟다	0	1
320	전역하면 이성한테 플러스점수있음?	방금	못생기면 있어봤자겠지만	0	0
321	내가 이제 26살인데	2분 전	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	2
322	치킨빼고 치즈볼만 먹고싶다	3분 전	ㅠㅅㅠ	0	0
323	지금 학교 다니는 남자 21학번은	3분 전	군대 안간거누	0	2
324	약대	4분 전	학부몇학번부터 생겼어?	0	0
325	낼 경영과 사회 ㄹㅅㅇ	4분 전	대면 맞지??	0	0
326	원가회계 공부하신분.,	5분 전	전 5장이 너무 어렵습니다..	0	0
327	공.부.시.러.	5분 전	하.기.시.러	0	1
328	사회적가치와개인의자유	7분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
329	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	8분 전	나는 포기한 사람 ㅎㅎ	0	0
330	공2 쪽문에서 지갑잃어리신분	8분 전	02년생 김다혜씨 쪽지주세요~	0	0
331	잘 하는 게 없으면	9분 전	일단 돈이라도 버는 게 맞지?	0	0
332	근데왜	9분 전	올해는 월드컵을 겨울에해 춥게	0	2
333	쪽문에 붕어빵	9분 전	오늘도 있나요?	0	2
334	그 핫게 교수님 냥이	11분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
335	나같은 스타일있나?	11분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
336	행정학개론	12분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
337	디자인과 생활	13분 전	디자인과 생활 중간고사 보나요 ??????	0	0
338	나랑 랜소 예행연습할사람?	14분 전	쪽지줘~	0	1
339	24년 전역	15분 전	오긴 오냐	1	11
340	여친 ㅈㄴ질리는데 헤어질 구실좀..	17분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
341	도서관인사람	18분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
342	운동종목 남/여 차이	18분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	25
343	영어 발음기호	19분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
344	분리수거 막 하는 애들은	24분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
345	티빙 한 자리 남는 사람	26분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
346	배우 김유정	26분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
347	이거 다들 어떻게 생각함??	28분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
348	나처럼 생각하는 사람있냐	30분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
349	진지하게 와꾸 궁금하다	32분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
350	우리 형 밭대 17학번	32분 전	나랑 수능 성적 비슷함	0	4
351	라인 오랜만에 깔았는데	34분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
352	언교원 영어회화 들을만 할까요	37분 전	고민되네ㅠ	0	8
353	의치수약간 1학년으로 보내주면	37분 전	가니? 타전공생들만	0	12
354	5동 쓰레기장 진짜 누구냐	38분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
355	복학생인데 공부해도 잘 모르겠다	39분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
356	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	39분 전	??	0	5
357	법학개론 ㅇㅇㅅ교수님	42분 전	내일 대면이야...?	0	1
358	마케팅관리 ㄱㅎㅈ 교수님	42분 전	필기 구해봅니다..ㅠㅠ	0	2
359	너네 시험 전날에 교양	45분 전	대충 몇시간 보고 가냐??	0	3
360	전역하면 이성한테 플러스점수있음?	방금	못생기면 있어봤자겠지만	0	0
361	내가 이제 26살인데	2분 전	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	2
362	치킨빼고 치즈볼만 먹고싶다	3분 전	ㅠㅅㅠ	0	0
363	지금 학교 다니는 남자 21학번은	3분 전	군대 안간거누	0	2
364	약대	4분 전	학부몇학번부터 생겼어?	0	0
365	낼 경영과 사회 ㄹㅅㅇ	4분 전	대면 맞지??	0	0
366	원가회계 공부하신분.,	5분 전	전 5장이 너무 어렵습니다..	0	0
367	공.부.시.러.	5분 전	하.기.시.러	0	1
368	사회적가치와개인의자유	7분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
369	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	8분 전	나는 포기한 사람 ㅎㅎ	0	0
370	공2 쪽문에서 지갑잃어리신분	8분 전	02년생 김다혜씨 쪽지주세요~	0	0
371	잘 하는 게 없으면	9분 전	일단 돈이라도 버는 게 맞지?	0	0
372	근데왜	9분 전	올해는 월드컵을 겨울에해 춥게	0	2
373	쪽문에 붕어빵	9분 전	오늘도 있나요?	0	2
374	그 핫게 교수님 냥이	11분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
375	나같은 스타일있나?	11분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
376	행정학개론	12분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
377	디자인과 생활	13분 전	디자인과 생활 중간고사 보나요 ??????	0	0
378	나랑 랜소 예행연습할사람?	14분 전	쪽지줘~	0	1
379	24년 전역	15분 전	오긴 오냐	1	11
380	여친 ㅈㄴ질리는데 헤어질 구실좀..	17분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
381	도서관인사람	18분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
382	운동종목 남/여 차이	18분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	26
383	영어 발음기호	19분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
384	분리수거 막 하는 애들은	24분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
385	티빙 한 자리 남는 사람	26분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
386	배우 김유정	26분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
387	이거 다들 어떻게 생각함??	28분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
388	나처럼 생각하는 사람있냐	30분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
389	진지하게 와꾸 궁금하다	32분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
390	우리 형 밭대 17학번	32분 전	나랑 수능 성적 비슷함	0	4
391	라인 오랜만에 깔았는데	34분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
392	언교원 영어회화 들을만 할까요	37분 전	고민되네ㅠ	0	8
393	의치수약간 1학년으로 보내주면	37분 전	가니? 타전공생들만	0	12
394	5동 쓰레기장 진짜 누구냐	38분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
395	복학생인데 공부해도 잘 모르겠다	39분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
396	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	39분 전	??	0	5
